No,CAS_Number,VE2_Dzp,SlogP_VSA7,nN(CO)2,B02[C-Cl],Xch-3dv,AATSC0v,T(Cl..Cl),F02[N-S],C-033,B04[O-O],NdO,SRW05,SdsN,nN=C-N<,B07[Cl-Cl],pLC50_sw,Series
2,50-06-6,0.238602468,0,2,0,0,47.17474058,0,0,0,1,3,0,0,0,0,-1.470819131,T
6,50-54-4,0.199834482,0,0,0,0,51.76323352,0,0,0,0,0,0,0,0,0,1.498911935,T
7,50-63-5,0.209679892,5.022633314,0,1,0,53.01322605,0,0,0,0,0,0,0,0,0,1.621068081,T
8,50-78-2,0.271584113,0,0,0,0,45.62276276,0,0,0,1,2,0,0,0,0,0.127843486,T
9,51-21-8,0.325435122,0,1,0,0,32.55280375,0,0,0,1,2,0,0,0,0,-0.420422159,T
10,52-68-6,0.279531062,0,0,1,0,53.28095238,6,0,0,0,1,0,0,0,0,0.432935551,T
11,54-11-5,0.284319541,0,0,0,0,51.51934916,0,0,0,0,0,2.397895273,0,0,0,-0.369350814,T
12,54-85-3,0.307787468,0,0,0,0,44.30762643,0,0,0,0,1,0,0,0,0,-1.469042052,T
13,55-48-1,0.215801064,0,0,0,0,50.76157678,0,0,0,1,1,2.397895273,0,0,0,0.035963855,T
14,56-23-5,0.439908772,0,0,0,0,0.559367111,12,0,0,0,0,0,0,0,0,-1.677086154,T
15,56-75-7,0.218285413,0,0,1,0,46.17224525,2,0,0,1,3,0,0,0,0,-0.981765605,T
16,57-41-0,0.225927865,0,1,0,0,48.61370265,0,0,0,1,2,2.397895273,0,0,0,-1.696342522,T
17,57-55-6,0.440225431,0,0,0,0,41.09411913,0,0,0,0,0,0,0,0,0,0.45808171,T
18,58-08-2,0.261807854,0,1,0,0,43.488164,0,0,0,1,2,2.397895273,0,0,0,-1.499664477,T
19,58-36-6,0.182417854,0,0,0,0,54.07753276,0,0,0,1,0,0,0,0,0,1.332935716,T
20,58-55-9,0.272323733,0,1,0,0,41.5883727,0,0,0,1,2,2.397895273,0,0,0,-1.461911067,T
21,58-89-9,0.285799145,0,0,1,0,57.03954807,57,0,0,0,0,0,0,0,0,0.908620944,T
22,58-90-2,0.294553833,20.09053325,0,1,0,33.58848074,23,0,0,0,0,0,0,0,0,1.240814458,T
23,60-13-9,0.310744512,0,0,0,0,52.68289711,0,0,0,0,0,0,0,0,0,1.624772073,T
24,60-51-5,0.278210352,0,0,0,0,56.36021243,0,0,0,0,1,0,0,0,0,-0.157509339,T
26,63-25-2,0.252661244,0,0,0,0,49.97610896,0,0,0,0,1,0,0,0,0,1.277669985,T
27,64-17-5,0.574637064,0,0,0,0,40.38407248,0,0,0,0,0,0,0,0,0,-2.886481298,T
29,67-63-0,0.494434192,0,0,0,0,42.87487519,0,0,0,0,0,0,0,0,0,-2.715137729,T
30,67-64-1,0.493733796,0,0,0,0,46.56323026,0,0,0,0,1,0,0,0,0,-0.111034656,T
32,69-09-0,0.213091601,5.022633314,0,1,0,56.31638375,0,0,0,0,0,0,0,0,0,-0.743007791,T
33,70-30-4,0.214808131,30.13579988,0,1,0,42.11076821,90,0,0,0,0,0,0,0,1,8.347596184,T
34,71-43-2,0.40824829,0,0,0,0,56.28185336,0,0,0,0,0,0,0,0,0,-1.252846863,T
35,71-55-6,0.440126122,0,0,1,0,61.47395344,6,0,0,0,0,0,0,0,0,-1.772724482,T
36,75-09-2,0.568829623,0,0,0,0,63.84707259,2,0,0,0,0,0,0,0,0,-1.496385178,T
38,79-57-2,0.170840014,0,0,0,0,46.05753296,0,0,0,1,3,0,0,0,0,0.769514735,T
39,81-81-2,0.205307232,0,0,0,0,50.22844024,0,0,0,1,2,0,0,0,0,-0.394730077,T
40,85-68-7,0.204593836,0,0,0,0,51.29383298,0,0,0,0,2,0,0,0,0,1.415529779,T
41,86-50-0,0.22480098,0,0,0,0,52.25199632,0,1,0,0,1,0,0,0,0,1.38752672,T
42,87-86-5,0.282146053,25.11316657,0,1,0,20.52611574,38,0,0,0,0,0,0,0,0,2.090917415,T
43,94-75-7,0.272479509,10.04526663,0,1,0,47.00005652,4,0,0,0,1,0,0,0,0,-0.43224996,T
44,95-76-1,0.326453616,10.04526663,0,1,0,53.00079285,3,0,0,0,0,0,0,0,0,0.450251789,T
46,97-00-7,0.267575139,5.022633314,0,1,0,31.2338716,0,0,0,0,4,0,0,0,0,2.005609445,T
47,99-35-4,0.249053197,0,0,0,0,25.18356687,0,0,0,0,6,0,0,0,0,1.722216489,T
48,100-02-7,0.30588951,0,0,0,0,41.24073074,0,0,0,0,2,0,0,0,0,0.510281119,T
49,100-42-5,0.349765981,0,0,0,0,56.28185336,0,0,0,0,0,0,0,0,0,-0.424663681,T
50,101-21-3,0.263293638,5.022633314,0,1,0,51.45079146,0,0,0,0,1,0,0,0,0,0.456902781,T
51,103-90-2,0.295134639,0,0,0,0,48.41663506,0,0,0,0,1,0,0,0,0,-1.394351138,T
53,106-42-3,0.347182537,0,0,0,0,55.58701566,0,0,0,0,0,0,0,0,0,-0.662725814,T
54,107-13-1,0.497479125,0,0,0,0,49.01988495,0,0,0,0,0,0,0,0,0,0.050825247,T
55,107-21-1,0.494753159,0,0,0,0,38.40690781,0,0,0,0,0,0,0,0,0,-3.382005847,T
56,108-88-3,0.373854797,0,0,0,0,56.03171179,0,0,0,0,0,0,0,0,0,-0.777962673,T
